continent,location,total_deaths_per_million,median_age,aged_65_older,aged_70_older,life_expectancy
Asia,Afghanistan,197.098,18.6,2.581,1.337,64.83
Europe,Albania,1274.926,38.0,13.188,8.643,78.57
Africa,Algeria,151.306,29.1,6.211,3.857,76.88
Africa,Angola,54.357,16.8,2.405,1.362,61.15
North America,Antigua and Barbuda,1572.412,32.1,6.933,4.631,77.02
South America,Argentina,2877.538,31.9,11.198,7.441,76.67
Asia,Armenia,3046.635,35.7,11.232,7.571,75.09
North America,Aruba,2708.921,41.2,13.085,7.452,76.29
Oceania,Australia,963.17,37.9,15.504,10.129,83.44
Europe,Austria,2485.912,44.4,19.202,13.748,81.54
Asia,Azerbaijan,1005.604,32.4,6.018,3.871,73.0
North America,Bahamas,2135.612,34.3,8.996,5.2,73.92
Asia,Bahrain,1001.657,32.4,2.372,1.387,77.29
Asia,Bangladesh,174.154,27.5,5.098,3.262,72.59
North America,Barbados,2100.424,39.8,14.952,9.473,79.19
Europe,Belarus,775.953,40.3,14.799,9.788,74.79
Europe,Belgium,2949.626,41.8,18.571,12.849,81.63
North America,Belize,1708.294,25.0,3.853,2.279,74.62
Africa,Benin,11.846,18.8,3.244,1.942,61.77
Asia,Bhutan,26.891,28.6,4.885,2.977,71.78
South America,Bolivia,1853.665,25.4,6.704,4.393,71.51
Europe,Bosnia and Herzegovina,5114.82,42.5,16.569,10.711,77.4
Africa,Botswana,1148.0,25.8,3.941,2.242,69.59
South America,Brazil,3338.538,33.5,8.552,5.06,75.88
Asia,Brunei,393.084,32.4,4.591,2.382,75.86
Europe,Bulgaria,5669.613,44.7,20.801,13.272,75.05
Africa,Burkina Faso,17.771,17.6,2.409,1.358,61.58
Africa,Burundi,1.126,17.5,2.562,1.504,61.58
Asia,Cambodia,177.657,25.6,4.412,2.385,69.82
Africa,Cameroon,71.437,18.8,3.165,1.919,59.29
North America,Canada,1424.014,41.4,16.984,10.797,82.43
Africa,Cape Verde,802.309,25.7,4.46,3.437,72.98
Africa,Central African Republic,22.165,18.3,3.655,2.251,53.28
Africa,Chad,10.512,16.7,2.486,1.446,54.24
South America,Chile,3208.198,35.4,11.087,6.938,80.18
Asia,China,85.817,38.7,10.641,5.929,76.91
South America,Colombia,2758.652,32.2,7.646,4.312,77.29
Africa,Comoros,191.802,20.4,2.963,1.726,64.32
Africa,Congo,64.456,19.0,3.402,2.063,64.57
North America,Costa Rica,1844.241,33.6,9.468,5.694,80.28
Africa,Cote d'Ivoire,27.472,18.7,2.933,1.582,57.78
Europe,Croatia,4799.552,44.0,19.724,13.053,78.49
North America,Cuba,771.26,43.1,14.738,9.719,78.8
North America,Curacao,1645.527,41.7,16.367,10.068,78.88
Europe,Cyprus,1089.85,37.3,13.416,8.563,80.98
Europe,Czechia,4076.466,43.3,19.027,11.58,79.38
Africa,Democratic Republic of Congo,14.395,17.0,3.02,1.745,60.68
