continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,life_expectancy,population,human_development_index
Asia,Afghanistan,235214.0,7998.0,5796.468,197.098,64.83,41128772.0,0.478
Europe,Albania,335047.0,3605.0,118491.02,1274.926,78.57,2842318.0,0.796
Africa,Algeria,272139.0,6881.0,5984.05,151.306,76.88,44903228.0,0.745
Oceania,American Samoa,8359.0,34.0,172831.6,702.988,73.74,44295.0,0.921
Europe,Andorra,48015.0,159.0,602280.44,1994.431,83.73,79843.0,0.858
Africa,Angola,107481.0,1937.0,3016.162,54.357,61.15,35588996.0,0.586
North America,Anguilla,3904.0,12.0,274890.88,844.951,81.88,15877.0,0.929
North America,Antigua and Barbuda,9106.0,146.0,98071.1,1572.412,77.02,93772.0,0.788
South America,Argentina,10101218.0,130663.0,222455.06,2877.538,76.67,45510324.0,0.842
Asia,Armenia,452273.0,8777.0,156991.11,3046.635,75.09,2780472.0,0.759
North America,Aruba,44224.0,292.0,410271.62,2708.921,76.29,106459.0,0.941
Oceania,Australia,11861161.0,25236.0,452699.0,963.17,83.44,26177410.0,0.951
Europe,Austria,6082444.0,22534.0,671004.9,2485.912,81.54,8939617.0,0.916
Asia,Azerbaijan,835757.0,10353.0,81178.445,1005.604,73.0,10358078.0,0.745
North America,Bahamas,39127.0,849.0,98421.81,2135.612,73.92,409989.0,0.812
Asia,Bahrain,696614.0,1536.0,454276.25,1001.657,77.29,1472237.0,0.875
Asia,Bangladesh,2051348.0,29499.0,12110.572,174.154,72.59,171186368.0,0.661
North America,Barbados,108582.0,593.0,384600.7,2100.424,79.19,281646.0,0.79
Europe,Belarus,994037.0,7118.0,108362.68,775.953,74.79,9534956.0,0.808
Europe,Belgium,4872829.0,34339.0,418562.72,2949.626,81.63,11655923.0,0.937
North America,Belize,71414.0,688.0,177319.92,1708.294,74.62,405285.0,0.683
Africa,Benin,28036.0,163.0,2037.573,11.846,61.77,13352864.0,0.525
North America,Bermuda,18860.0,165.0,291175.2,2547.397,82.59,64207.0,0.929
Asia,Bhutan,62697.0,21.0,80286.07,26.891,71.78,782457.0,0.666
South America,Bolivia,1212147.0,22387.0,100366.93,1853.665,71.51,12224114.0,0.692
