continent,location,total_deaths_per_million,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy
Europe,Albania,1274.926,304.195,10.08,7.1,51.2,78.57
Africa,Algeria,151.306,278.364,6.73,0.7,30.4,76.88
Europe,Andorra,1994.431,109.135,7.97,29.0,37.8,83.73
South America,Argentina,2877.538,191.032,5.5,16.2,27.7,76.67
Asia,Armenia,3046.635,341.01,7.11,1.5,52.1,75.09
Oceania,Australia,963.17,107.791,5.07,13.0,16.5,83.44
Europe,Austria,2485.912,145.183,6.35,28.4,30.9,81.54
Asia,Azerbaijan,1005.604,559.812,7.11,0.3,42.5,73.0
North America,Bahamas,2135.612,235.954,13.17,3.1,20.4,73.92
Asia,Bahrain,1001.657,151.689,16.52,5.8,37.6,77.29
Asia,Bangladesh,174.154,298.003,8.38,1.0,44.7,72.59
North America,Barbados,2100.424,170.05,13.57,1.9,14.5,79.19
Europe,Belarus,775.953,443.129,5.18,10.5,46.1,74.79
Europe,Belgium,2949.626,114.898,4.29,25.1,31.4,81.63
Africa,Benin,11.846,235.848,0.99,0.6,12.3,61.77
Europe,Bosnia and Herzegovina,5114.82,329.635,10.08,30.2,47.7,77.4
Africa,Botswana,1148.0,237.372,4.81,5.7,34.4,69.59
South America,Brazil,3338.538,177.961,8.11,10.1,17.9,75.88
Asia,Brunei,393.084,201.285,12.79,2.0,30.9,75.86
Europe,Bulgaria,5669.613,424.688,5.81,30.1,44.4,75.05
Africa,Burkina Faso,17.771,269.048,2.42,1.6,23.9,61.58
Asia,Cambodia,177.657,270.892,4.0,2.0,33.7,69.82
North America,Canada,1424.014,105.599,7.37,12.0,16.6,82.43
Africa,Cape Verde,802.309,182.219,2.42,2.1,16.5,72.98
South America,Chile,3208.198,127.993,8.46,34.2,41.5,80.18
Asia,China,85.817,261.899,9.74,1.9,48.4,76.91
South America,Colombia,2758.652,124.24,7.44,4.7,13.5,77.29
Africa,Comoros,191.802,261.516,11.88,4.4,23.6,64.32
Africa,Congo,64.456,344.094,7.2,1.7,52.3,64.57
North America,Costa Rica,1844.241,137.973,8.78,6.4,17.4,80.28
Europe,Croatia,4799.552,253.782,5.59,34.3,39.9,78.49
North America,Cuba,771.26,190.968,8.27,17.1,53.3,78.8
Europe,Cyprus,1089.85,141.171,9.24,19.6,52.7,80.98
Europe,Czechia,4076.466,227.485,6.82,30.5,38.3,79.38
Europe,Denmark,1642.075,114.767,6.41,19.3,18.8,80.9
Africa,Djibouti,166.212,258.037,6.05,1.7,24.5,67.11
North America,Dominican Republic,390.357,266.653,8.2,8.5,19.1,74.08
Asia,East Timor,100.781,335.346,6.86,6.3,78.1,69.5
South America,Ecuador,2022.565,140.448,5.55,2.0,12.3,77.01
